Common Name,Distribution,Endangered Species Act Status,NatureServe Global Rank,NatureServe Rounded Global Rank,Scientific Name,Species Group (Fine),View on NatureServe Explorer,_id
Streamside Salamander,"United States: IN (S3), KY (S5), OH (SNR), TN (S2), WV (S1)",Under Review,G4,G4,Ambystoma barbouri,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100100/Ambystoma_barbouri,645ab24495bd22ca2330fb03
Reticulated Flatwoods Salamander,"United States: AL (SX), FL (S1), GA (S1)",Endangered,G2,G2,Ambystoma bishopi,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.802300/Ambystoma_bishopi,645ab24495bd22ca2330fb04
California Tiger Salamander,United States: CA (S2),Endangered; Threatened,G2G3,G2,Ambystoma californiense,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104488/Ambystoma_californiense,645ab24495bd22ca2330fb05
Frosted Flatwoods Salamander,"United States: FL (S1), GA (S1), SC (S1)",Threatened,G2,G2,Ambystoma cingulatum,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.802301/Ambystoma_cingulatum,645ab24495bd22ca2330fb06
Wyoming Toad,United States: WY (S1),Endangered,G1,G1,Anaxyrus baxteri,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101600/Anaxyrus_baxteri,645ab24495bd22ca2330fb07
Arroyo Toad,United States: CA (S2),Endangered,G2G3,G2,Anaxyrus californicus,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106312/Anaxyrus_californicus,645ab24495bd22ca2330fb08
Yosemite Toad,United States: CA (S2),Threatened,G2G3,G2,Anaxyrus canorus,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105396/Anaxyrus_canorus,645ab24495bd22ca2330fb09
Houston Toad,United States: TX (S1),Endangered,G1,G1,Anaxyrus houstonensis,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103748/Anaxyrus_houstonensis,645ab24495bd22ca2330fb0a
Arizona Toad,"United States: AZ (S3), NM (S3), NV (S2), UT (S3)",Under Review,G3G4,G3,Anaxyrus microscaphus,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105766/Anaxyrus_microscaphus,645ab24495bd22ca2330fb0b
Dixie Valley Toad,United States: NV (S1),Endangered,G1,G1,Anaxyrus williamsi,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106026/Anaxyrus_williamsi,645ab24495bd22ca2330fb0c
Relictual Slender Salamander,United States: CA (S1),Proposed endangered,G1,G1,Batrachoseps relictus,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.889920/Batrachoseps_relictus,645ab24495bd22ca2330fb0d
Kern Canyon Slender Salamander,United States: CA (S2),Proposed threatened,G2G3,G2,Batrachoseps simatus,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.894174/Batrachoseps_simatus,645ab24495bd22ca2330fb0e
Cumberland Dusky Salamander,United States: TN (S2),Under Review,G2G3,G2,Desmognathus abditus,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.681169/Desmognathus_abditus,645ab24495bd22ca2330fb0f
Seepage Salamander,"United States: AL (S2), GA (S3), NC (S3), SC (SU), TN (S2)",Under Review,G3G4,G3,Desmognathus aeneus,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100247/Desmognathus_aeneus,645ab24495bd22ca2330fb10
Pine Barrens Treefrog,"United States: AL (S2), FL (S3), NC (S2), NJ (S2), SC (S2)",Delisted,G4,G4,Dryophytes andersonii,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102258/Dryophytes_andersonii,645ab24495bd22ca2330fb11
"Chamberlain's Dwarf Salamander","United States: NC (S4), SC (S3)",Under Review,G4,G4,Eurycea chamberlaini,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101323/Eurycea_chamberlaini,645ab24495bd22ca2330fb12
Salado Salamander,United States: TX (S1),Threatened,G1,G1,Eurycea chisholmensis,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103095/Eurycea_chisholmensis,645ab24495bd22ca2330fb13
